INDEX,p_target
3,1495.78
9,1495.78
10,1495.78
18,1495.78
21,1495.78
30,1495.78
31,1495.78
37,1495.78
39,1495.78
47,1495.78
60,1495.78
62,1495.78
63,1495.78
64,1495.78
68,1495.78
75,1495.78
76,1495.78
83,1495.78
87,1495.78
92,1495.78
98,1495.78
106,1495.78
107,1495.78
113,1495.78
120,1495.78
123,1495.78
125,1495.78
126,1495.78
128,1495.78
129,1495.78
131,1495.78
135,1495.78
141,1495.78
147,1495.78
148,1495.78
151,1495.78
156,1495.78
157,1495.78
174,1495.78
186,1495.78
193,1495.78
195,1495.78
212,1495.78
213,1495.78
217,1495.78
223,1495.78
226,1495.78
228,1495.78
230,1495.78
241,1495.78
243,1495.78
249,1495.78
281,1495.78
288,1495.78
294,1495.78
295,1495.78
300,1495.78
302,1495.78
303,1495.78
308,1495.78
319,1495.78
320,1495.78
324,1495.78
331,1495.78
343,1495.78
347,1495.78
348,1495.78
350,1495.78
357,1495.78
358,1495.78
360,1495.78
366,1495.78
367,1495.78
368,1495.78
376,1495.78
380,1495.78
388,1495.78
396,1495.78
398,1495.78
403,1495.78
410,1495.78
412,1495.78
420,1495.78
434,1495.78
440,1495.78
450,1495.78
453,1495.78
464,1495.78
465,1495.78
466,1495.78
473,1495.78
476,1495.78
478,1495.78
479,1495.78
493,1495.78
497,1495.78
503,1495.78
504,1495.78
505,1495.78
507,1495.78
513,1495.78
519,1495.78
521,1495.78
522,1495.78
545,1495.78
549,1495.78
551,1495.78
556,1495.78
557,1495.78
559,1495.78
560,1495.78
566,1495.78
569,1495.78
573,1495.78
578,1495.78
579,1495.78
582,1495.78
596,1495.78
598,1495.78
599,1495.78
602,1495.78
605,1495.78
617,1495.78
619,1495.78
630,1495.78
634,1495.78
643,1495.78
645,1495.78
647,1495.78
649,1495.78
656,1495.78
657,1495.78
658,1495.78
667,1495.78
692,1495.78
693,1495.78
698,1495.78
699,1495.78
700,1495.78
704,1495.78
707,1495.78
708,1495.78
709,1495.78
713,1495.78
714,1495.78
716,1495.78
718,1495.78
722,1495.78
729,1495.78
731,1495.78
733,1495.78
746,1495.78
747,1495.78
748,1495.78
753,1495.78
757,1495.78
763,1495.78
767,1495.78
774,1495.78
776,1495.78
788,1495.78
794,1495.78
799,1495.78
803,1495.78
806,1495.78
807,1495.78
811,1495.78
816,1495.78
818,1495.78
819,1495.78
831,1495.78
835,1495.78
837,1495.78
841,1495.78
846,1495.78
856,1495.78
861,1495.78
862,1495.78
863,1495.78
865,1495.78
871,1495.78
879,1495.78
880,1495.78
881,1495.78
885,1495.78
887,1495.78
892,1495.78
898,1495.78
900,1495.78
904,1495.78
906,1495.78
910,1495.78
912,1495.78
913,1495.78
919,1495.78
924,1495.78
925,1495.78
930,1495.78
940,1495.78
941,1495.78
946,1495.78
949,1495.78
951,1495.78
962,1495.78
966,1495.78
967,1495.78
971,1495.78
981,1495.78
982,1495.78
983,1495.78
984,1495.78
989,1495.78
