INDEX,p_target
3,161.10190042
9,253.86764083
10,145.17218503
18,148.92545019
21,263.7408467
30,230.6932163
31,470.14877172
37,434.37145206
39,33.938216883
47,138.15940239
60,29.666762729
62,410.93139634
63,880.53127907
64,109.03506128
68,16.144897398
75,645.38665282
76,769.49259949
83,229.87310514
87,546.7545299
92,468.01081626
98,126.37243523
106,393.76427077
107,48.303564059
113,442.88511105
120,324.9484483
123,417.95670978
125,488.61023718
126,421.59177384
128,77.973114407
129,142.02269001
131,56.124207288
135,457.34992739
141,95.517692678
147,225.87582229
148,215.20132363
151,50.383765868
156,192.30003477
157,269.1073532
174,116.42009488
186,567.7200279
193,322.74123704
195,388.47705275
212,21.11006415
213,595.8968532
217,5.6250429238
223,231.59697441
226,63.823995597
228,263.45871556
230,17.995123315
241,469.39579408
243,160.42232728
249,371.91440641
281,788.32964513
288,70.333496965
294,331.94697149
295,230.47524046
300,410.95180578
302,471.10950298
303,101.60886757
308,360.18445853
319,16.978412397
320,55.719366491
324,448.54062903
331,122.26342584
343,62.264929239
347,356.10572374
348,823.35950521
350,613.45540947
357,230.91441809
358,65.119130011
360,26.741107696
366,233.46452717
367,719.48942605
368,359.41611934
376,690.69960486
380,290.32393255
388,400.85785484
396,306.3517022
398,163.76889579
403,48.544012477
410,603.1406801
412,429.31229384
420,392.37261949
434,42.43564981
440,313.9397729
450,587.95649314
453,185.04631272
464,361.23421864
465,51.383911091
466,737.23966997
473,87.061075669
476,90.104657072
478,67.021849146
479,124.72616641
493,51.443654537
497,166.94150544
503,9.9539837694
504,372.52213279
505,377.5518408
507,145.90282329
513,402.39634314
519,529.77931542
521,646.87143016
522,505.90095596
545,98.845152641
549,116.21591344
551,224.66956926
556,98.732559854
557,452.98546669
559,245.52061887
560,504.84161226
566,33.412238206
569,242.95180179
573,185.43781068
578,686.07865427
579,48.802170791
582,13.765267159
596,678.00783316
598,488.66272708
599,175.17596913
602,268.1502131
605,639.38215231
617,452.04464162
619,417.94848412
630,240.72430509
634,476.60959663
643,408.58091829
645,262.10447806
647,267.62290802
649,101.34776876
656,86.048338535
657,163.49530348
658,206.45262777
667,78.172343658
692,108.64359688
693,220.43373427
698,810.03461281
699,490.73318221
700,51.829914358
704,128.44572835
707,66.450781005
708,780.3982918
709,152.15653356
713,141.88053661
714,73.076782591
716,589.91220705
718,180.13856503
722,151.42174428
729,378.20705853
731,28.97817791
733,592.30099977
746,359.5899087
747,747.63839249
748,288.69834587
753,345.11738547
757,354.99948955
763,29.540036172
767,147.18492473
774,544.50284034
776,542.58805107
788,246.24219423
794,110.10379651
799,312.20108104
803,148.15502527
806,691.30595603
807,314.36995187
811,45.679346358
816,137.50127845
818,208.83538901
819,130.2417892
831,99.198667837
835,599.15040459
837,205.00402378
841,722.11947521
846,332.88793502
856,239.93760663
861,534.9377053
862,622.13069365
863,695.07080046
865,707.30508344
871,577.82617126
879,135.72857461
880,139.25789178
881,310.33013989
885,306.49597185
887,364.05493108
892,61.157561053
898,74.875536054
900,210.3329749
904,265.08304047
906,536.27309676
910,751.41498991
912,369.74784321
913,225.2467945
919,98.773022736
924,566.40510031
925,444.62664986
930,231.59116964
940,279.08240065
941,202.04249737
946,215.59978253
949,260.94508087
951,82.104437613
962,51.562369337
966,94.954466198
967,16.804751868
971,856.12491282
981,23.0554504
982,64.687163114
983,71.268196648
984,23.007348455
989,222.82655117
990,638.02701476
992,512.76540451
995,62.893015594
996,352.69703253
998,441.84601195
1001,72.886209498
1007,193.6596715
1008,25.987266122
1016,50.658167107
1022,52.371804715
1027,271.93800278
1032,375.48672166
1033,124.37231532
1041,336.72546209
1065,419.1818678
1074,290.61986749
1075,403.95346432
1081,165.98678632
1094,42.862378369
1099,61.852097366
1105,559.3335804
1123,70.971705903
1135,10.021266725
1142,209.08673754
1155,99.471827575
1169,22.694858879
1176,25.917673079
1178,570.76778089
1180,33.127423469
1184,140.1850902
1185,666.82851249
1193,305.9018536
1196,161.88488954
1199,451.24457896
1203,334.84549115
1205,479.60180346
1207,54.043731652
1208,465.88135906
1212,497.33540917
1213,444.53293702
1222,79.216128772
1223,352.68896216
1226,421.98598953
1227,314.54957747
1229,152.49120103
1230,319.73350958
1231,596.30066139
1241,81.437906255
1243,72.969291221
1244,139.83303505
1246,204.67448338
1248,163.29780972
1249,92.320484956
1252,101.47626964
1261,140.46222031
1275,123.53108603
1281,783.73726448
1285,465.69462309
1288,584.98173103
1290,66.746456485
1291,332.06976101
1304,637.48682511
1305,138.7501237
1323,287.00983968
1342,724.23129615
1348,201.075257
1353,309.45755663
1363,267.6878804
1371,96.074230166
1372,370.64551899
1378,293.70165882
1381,434.68998361
1382,376.70289627
1393,544.47253845
1394,22.375909176
1398,276.09032834
1404,330.24676292
1405,758.18585465
1419,373.83772885
1421,214.79640347
1426,73.508376991
